lat,long,prof_km,mag_m,mag_ms,mag_mw,type,fecha,hora
-5.5,-80.9,50,4.0,0.0,0.0,historico,1945-09-22,08:10:00
-13.0,-76.2,80,4.2,0.0,0.0,historico,1945-09-23,06:05:00
-13.0,-76.2,80,4.7,0.0,0.0,historico,1945-09-25,12:45:00
-6.436,-77.125,20,5.6,6.1,0.0,historico,1945-09-28,23:27:46
-16.5,-72.1,35,3.3,0.0,0.0,historico,1945-09-29,20:43:00
-6.2,-77.3,40,3.8,0.0,0.0,historico,1945-09-30,22:15:00
-6.47,-77.17,40,3.6,0.0,0.0,historico,1945-10-01,00:15:00
-16.2,-71.8,30,3.7,0.0,0.0,historico,1945-10-02,17:43:00
-12.0,-77.8,40,4.6,0.0,0.0,historico,1945-10-04,19:30:00
-6.47,-77.17,40,4.4,0.0,0.0,historico,1945-10-04,23:15:00
-6.47,-77.17,40,4.1,0.0,0.0,historico,1945-10-05,06:15:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-10-07,23:05:00
-17.0,-72.2,60,4.1,0.0,0.0,historico,1945-10-17,11:50:00
-12.1,-77.6,30,4.5,0.0,0.0,historico,1945-10-20,07:00:00
-10.8,-78.2,50,4.0,0.0,0.0,historico,1945-10-21,07:45:00
-3.5,-80.7,40,3.6,0.0,0.0,historico,1945-10-24,16:15:00
-17.0,-70.9,35,3.2,0.0,0.0,historico,1945-10-28,02:20:00
-3.5,-80.7,40,4.1,0.0,0.0,historico,1945-10-31,05:23:00
-7.3,-78.5,20,3.3,0.0,0.0,historico,1945-11-05,21:35:00
-14.9,-75.1,90,4.9,0.0,0.0,historico,1945-11-12,10:34:00
-12.5,-76.3,100,5.0,0.0,0.0,historico,1945-11-21,12:00:00
-13.3,-76.2,90,4.4,0.0,0.0,historico,1945-11-21,13:55:00
-13.6,-76.6,60,4.4,0.0,0.0,historico,1945-11-22,02:07:00
-11.0,-69.0,700,0.0,6.1,0.0,historico,1945-11-25,20:03:58
-15.6,-74.8,60,4.3,0.0,0.0,historico,1945-11-26,20:30:00
-13.0,-76.2,80,4.2,0.0,0.0,historico,1945-11-27,10:55:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-11-28,08:56:00
-17.0,-71.2,30,3.8,0.0,0.0,historico,1945-11-30,03:40:00
